trip_id,customer_name,customer_phone,customer_area,driver_name,driver_phone,vehicle_plate,vehicle_make,vehicle_model,pickup_area,dropoff_area,trip_date,pickup_time,distance_km,payment_method,status,fare_amount,customer_rating
155,Samuel Omondi,0720576936,Langata,Moses Kariuki,0781400181,KDC384M,Subaru,Impreza,Lavinngton,Ngong Road,03/02/2025,08:05,26.7,Card,Completed,1302,0
156,  Mercy Nyambura  ,0795540297,Embakasi,Brian Mutua,0774-860-677,kde169j,Mazda,DEMIO,Embakasi,South C,02/02/2025,10:30,16.7,mpesa,Completed,852,3
157,CYNTHIA MWANGI,,,BRIAN MUTUA,0774860677,KDB560L,Toyota,vitz,ngong road,Lavington,2025-03-11,20:08,8.8,cash,completed,KES 496,4
158,Victor Wekesa,,WESTLANDS,Moses Kariuki,0781-400-181,KDE501G,Toyota,Wish,Lavington,Embakasi,10/01/2025,18:18,11.3,M-Pesa,Completed,609,3
159,Kevin Mutua,0759899226,cbd,Elias Cheruiyot,0779-736-929,KDB833G,toyota,Fielder,South B,South C,2025-06-27,14:57,14.2,CASH,COMPLETED,739,3
160,Victor Wafula,0777979240,South C,Brian Otieno,0744810301, KDD693I ,Toyota,Premio,Runda,KASARANI,06-09-2025,17:28,15.9,Cash,completed,816,3
161,Samuel Mwangi,,Buruburu,Moses Omondi,+254753618087,KDA950K,Honda,FIT,embakasi,parklands,2025-04-05,07:07,12,Cash,COMPLETED,640,5
162,winnie wafula,0781-470-948,Lavington,Moses Kariuki,0781400181,kda496f,Toyota,Axio,Kasarani,Langata,04-16-2025,12:04,14.9,Cash,Completed,771,3
163,DIANA CHEBET,0763344725,Kasarani,Moses Kariuki,0781400181,kdc598h,Nissan,Note,EMBAKASI,Kasarani,01-24-2025,19:14,14.9,mpesa,Completed,771,3
164,  Felix Wekesa  ,0735584587,Parklands,BRIAN OTIENO,0744810301,KDE169J,MAZDA,Demio,Embakasi,Buruburu,03-18-2025,13:23,1.9,card,Completed,186,4
165,VICTOR WEKESA,+254766929084,Westlands,Brian Otieno,0744810301,KDA542H,mazda,Axela,Ngong Road,CBD,2025-05-27,07:26,25.8,CARD,Completed,1261,3
166,Cynthia Chebet,0740-139-268,Langata,Moses Kariuki,+254781400181,KDB560L,Toyota,Vitz,,parklands,2025-03-23,18:44,20.2,M-PESA,COMPLETED,1009,5
167,Brian Otieno,0797729125,South B,Amina Omondi,0734239702,KDA542H,MAZDA,Axela,parklands,south c,14/01/2025,09:50,2.9,cash,Completed,KES 231,5
168,FELIX WAFULA,0752573081,Karen,Moses Kariuki,0781400181,kda496f,TOYOTA,axio,Westlands,karen,05-02-2025,16:59,21.8,Cash,Complete,1081,3
169,Brian Wanjiru,0784844636,Kasarani,Moses Omondi,,KDB833G,Toyota,Fielder,Kasarani,Westlands,2025-02-20,18:20,16.5,M-Pesa,COMPLETED,843,5
170,JAMES WAFULA,0736895771,Buruburu,Brian Kamau,,KDB833G,toyota,Fielder,South C,South B,2025-04-19,15:46,15.8,Cash,Completed,811,4
171,  Mercy Nyambura  ,0795540297,Embakasi,Moses Kariuki,0781400181,KDA496F,Toyota,Axio,,,2025-02-11,14:38,24.1,Cash,COMPLETED,1185,3
172,Mercy Wekesa,+254797593711,Westlands,diana barasa,, KDA950K ,HONDA,Fit,PARKLANDS,kilimani,22/03/2025,18:54,10.6,Card,completed,577,5
173,  Mercy Barasa  ,0766847125,Buruburu,  David Kiprotich  ,0749589840,kdc598h,Nissan,Note,Kilimani,Lavington,24/04/25,15:31,26.4,Cash,Completed,1288,3
174,Cynthia Mwangi,0725-121-694,Langata,  Dennis Chebet  ,0739185296,kdc384m,Subaru,impreza,Ngong Road,Kasarani,01/03/25,16:07,2.4,Cash,Completed,208,3
175,Brian Otieno,0797-729-125,South B,Hassan Wafula,0716564365,kdb560l,Toyota,VITZ,South C,PARKLANDS,06/04/25,16:26,,M-Pesa,COMPLETED,1410,3
176,Samuel Cheruiyot,+254744365845,PARKLANDS,  Brian Kamau  ,0777194079,KDB560L,Toyota,Vitz,Embakasi,Langata,15/03/2025,15:13,-15.8,CASH,Completed,KES 811,3
177,Winnie Wafula,0781470948,lavington,Diana Kamau,0731284168,KDB833G,Toyota,Fielder,LANGATA,Runda,03-16-2025,16:21,5.3,Cash,COMPLETED,339,3
178,Felix Wekesa,0735584587,Parklands,Mercy Wanjiru,0781747623,KDB560L,TOYOTA,Vitz,Embakasi,Lavington,12/06/2025,19:27,22.5,card,COMPLETED,1113,4
179,BRIAN OTIENO,0797729125,South B,Hassan Wafula,0716564365,KDB833G,Toyota,Fielder,Westlands,LAVINGTON,11/02/25,09:25,24.8,M-Pesa,COMPLETED,"KES 1,216",4
180,Brian Otieno,0797-729-125,Soutth B,moses kariuki,0781400181,KDC384M,Subaru,impreza,Buruburu,South C,2025-03-18,14:27,8.7,Cash,Completed,KES 491,3
181,SAMUEL CHERUIYOT,0744365845,Parklands,DIANA KAMAU,0731284168,KDB560L,Toyota,VITZ,Parklands,Kasarani,2025-03-02,21:26,30.6,m-pesa,Completed,1477,5
182,  Mercy Nyambura  ,0795540297,Embakasi,Diana Barasa,0713263844,KDD156F,Nissan,Advan,SOUTH B,Westlands,2025-06-27,13:41,9.4,Cash,completed,KES 523,5
183,IVY NJOROGE,0752-847-276,Buruburu,Victor Odhiambo,+254746693891,KDA950K,HONDA,Fit,Parklands,Lavington,2025-01-23,09:46,28,Card,COMPLETED,1360,5
184,felix achieng,0754759100,South B,Diana Barasa,+254713263844,KDA496F,Toyota,Axio,south b,Runda,2025-05-13,09:19,8.4,M-Pesa,completed,KES 478,4
185,Victor Kariuki,0739420701,Kilimani,Victor Odhiambo,0746693891,KDA496F,Toyota,AXIO,Karen,Kasarani,2025-06-11,08:41,13.3,Cash,Completed,699,4
186,faith mwangi,0717-791-214,SOUTH B,Mercy Wanjiru,0781747623,KDD693I,Toyota,Premio,Karen,,19/01/2025,15:05,31.6,Cash,Completed,1522,4
187,James Wafula,+254736895771,BURUBURU,Elias Cheruiyot,+254779736929,KDC598H,Nissan,note,Parklands,CBD,02-25-2025,08:47,22.2,mpesa,Completed,1099,5
188,SAMUEL MWANGI,+254765635406,Buruburu,Brian Mutua,0774860677, KDD156F ,Nissan,Advan,Lavington,Runda,05-07-2025,15:53,26.4,M-Pesa,completed,"KES 1,288",5
189,Felix Wekesa,0735584587,Parklands,Diana Kamau,0731284168,KDA496F,Toyota,Axio,Buruburu,Lavington,2025-01-05,10:37,29.3,CARD,COMPLETED,"KES 1,419",4
190,Faith Mwangi,0717-791-214,South B,moses kariuki,0781400181,KDC598H,Nissan,Note,RUNDA,langata,06-11-2025,17:17,14.4,M-Pesa,COMPLETED,748,5
191,Felix Wafula,0752573081,Karen,Moses Omondi,0753618087,kdd693i,Toyota,Premio,CBD,Lavington,22/04/2025,18:21,19.2,Cash,completed,964,4
192,FELIX WEKESA,+254735584587,Parklands,dennis chebet,0739-185-296,kda496f,Toyota,axio,WESTLANDS,Buruburu,28/03/2025,21:24,20.7,Cash,COMPLETED,1032,0
193,Felix Wafula,+254752573081,Karen,DIANA KAMAU,0731-284-168,KDD156F,Nissan,Advan,Parklands,Parklands,20/03/25,09:02,,Card,Completed,1234,4
194,kevin mutua,0759899226,CBD,Moses Kariuki,0781400181,KDD693I,Toyota,Premio,Parklands,Karen,20/01/2025,22:48,,card,COMPLETED,KES 730,4
195,Felix Achieng,0754759100,,Dennis Chebet,,KDB833G,Toyota,Fielder,parklands,Parklands,04/03/2025,06:26,-14.7,CARD,Completed,762,4
196,  Joy Nyambura  ,+254733240353,Ngong Road,  Dennis Chebet  ,0739185296, KDE169J ,Mazda,DEMIO,Parklands,parklands,04-25-2025,20:37,8,Cash,COMPLETED,460,3
197,Cynthia Chebet,0740139268,Langata,Diana Barasa,0713263844, KDD693I ,TOYOTA,premio,Runnda,Kasarani,2025-03-14,11:49,2.1,CARD,Completed,195,4
198,Cynthia Mwangi,+254725121694,Langata,  Dennis Chebet  ,0739185296,KDE169J,Mazda,DEMIO,Parklands,Runnda,2025-05-08,19:50,25.8,M-PESA,COMPLETED,1261,5
199,Kevin Mutua,0759899226,,  Brian Mutua  ,0774860677,KDC598H,nissan,Note,Parklands,Kasarani,14/02/25,14:29,23.3,Cash,Completed,1149,0
200,Mercy Nyambura,0795-540-297,Embakasi,David Kiprotich,0749589840,kdc598h,Nissan,Note,CBD,CBD,01-12-2025,21:54,29.6,Card,Completed,1432,0
201,Samuel Cheruiyot,0744365845,Parklands,DENNIS CHEBET,,KDA950K,HONDA,Fit,KAREN,Lavington,2025-01-06,13:52,,CARD,Completed,807,3
202,Hassan Wafula,0736980151,Langata,DIANA BARASA,+254713263844,KDA950K,Honda,fit,Westlands,Parklands,06-27-2025,13:40,13.7,M-Pesa,Completed,717,3
203,Samuel Mwangi,0765-635-406,,Brian Mutua,0774-860-677, KDE501G ,Toyota,Wish,Kasarrani,Langata,04-12-2025,18:12,30.7,m-pesa,completed,1482,5
204,Winnie Wafula,0781-470-948,Lavington,brian otieno,0744-810-301,KDB833G,Toyota,Fielder,Westlands,Kilimani,18/04/2025,17:16,30.1,Cash,Completed,"KES 1,455",3
205,hassan wafula,0736980151,Langata,Brian Otieno,0744810301,KDB560L,Toyota,Vitz,Kasarani,Ngong Road,09/03/25,21:56,26.7,Cash,completed,1302,4
206,Brian Otieno,0797729125,South B,Moses Kariuki,0781400181,kda950k,Honda,Fit,Kasarani,ngong road,2025-04-23,22:45,8.2,Cash,COMPLETED,469,3
207,Felix Wafula,0752-573-081,Karen,diana kamau,,KDB833G,toyota,FIELDER,Lavington,South B,2025-03-22,12:20,,M-PESA,COMPLETED,712,5
208,Hassan Wafula,0736980151,Langata,DIANA KAMAU,+254731284168,kde501g,Toyota,Wish,Westlands,Westlands,10/03/25,10:00,13.4,Cash,Completed,703,0
209,Samuel Mwangi,0765-635-406,BURUBURU,ELIAS CHERUIYOT,0779736929,kdb560l,Toyota,Vitz,Kasarani,Parklands,19/04/2025,17:32,32.9,M-Pesa,completed,"KES 1,581",4
210,Mercy Nyambura,0795540297,Embakasi,Diana Kamau,0731284168,KDB833G,Toyota,Fielder,Kilimani,Ngong Road,2025-03-04,16:24,2.8,M-Pesa,completed,226,5
211,VICTOR WEKESA,0766929084,Westlands,Brian Kamau,0777194079,kdb833g,TOYOTA,Fielder,Kasarani,South C,2025-01-01,16:45,28.4,m-pesa,Completed,"KES 1,378",3
212,Samuel Omondi,0720-576-936,Langata,Brian Mutua,0774860677,KDC384M,Subaru,Impreza,Ngong Road,Karen,2025-03-20,15:51,28.8,Card,Completed,1396,5
213,Hassan Wafula,0736980151,langata,david kiprotich,0749-589-840,KDD156F,nissan,Advan,Parklands,South B,25/01/2025,09:33,28.8,M-Pesa,Completed,1396,4
214,Ivy Njoroge,0752847276,Burubburu,brian mutua,0774-860-677,KDA496F,toyota,Axio,CBD,Lavington,05-18-2025,16:56,15.3,M-Pesa,Completed,KES 789,5
215,Grace Odhiambo,0759785686,langata,Brian Mutua,0774860677,KDC384M,Subaru,impreza,Westlands,westlands,01-22-2025,17:39,5.3,M-Pesa,Completed,339,4
216,Samuel Omondi,0720576936,Langata,Hassan Wafula,0716564365,KDD156F,Nissan,Advan,Ngong Road,SOUTH B,2025-06-01,18:02,24.1,card,Completed,1185,6
217,Felix Wekesa,0735-584-587,Parklands,DIANA KAMAU,0731-284-168,KDA496F,Toyota,Axio,Embakasi,Runda,2025-02-28,08:21,27.6,Card,Completed,1342,0
218,ivy njoroge,0752847276,Buruburu,Victor Odhiambo,0746693891,KDD156F,Nissan,Advan,CBD,South C,27/04/2025,17:49,30.2,cash,Completed,1459,4
219,  Victor Kariuki  ,0739420701,Kilimani,Brian Kamau,0777-194-079,kda542h,Mazda,Axela,westlands,,2025-06-21,18:01,23.9,CARD,completed,1176,5
220,FAITH KARIUKI,0793595589,CBD,diana barasa,+254713263844,kdc384m,Subaru,Impreza,BURUBURU,parklands,2025-01-04,16:21,1.9,CARD,Completed,186,3
221,DIANA CHEBET,0763-344-725,Kasarani,DENNIS CHEBET,0739185296,kdb560l,Toyota,Vitz,South C,Langata,2025-05-10,20:28,14.4,cash,Completed,748,3
222,grace odhiambo,0759-785-686,Langata,moses kariuki,0781400181,KDA950K,Honda,FIT,Karren,,07/01/25,11:20,28.8,Card,Completed,1396,0
223,BRIAN OTIENO,0797-729-125,South B,Hassan Wafula,0716564365,KDE169J,Mazda,demio,CBD,,2025-01-09,13:33,9,CARD,Completed,505,5
224,Grace Odhiambo,0759785686,LANGATA,diana kamau,0731-284-168,KDD156F,NISSAN,Advan,Ngong Road,Kasarani,2025-02-03,17:23,19.7,CASH,completed,987,
225,Mercy Wekesa,0797593711,westlands,Moses Omondi,0753618087,KDA542H,Mazda,Axela,Kilimani,Kilimmani,2025-06-11,10:06,5.3,Card,Completed,339,4
226,MERCY NYAMBURA,0795540297,Embakasi,David Kiprotich,0749589840,kda496f,Toyota,axio,Kasarani,cbd,16/06/2025,08:26,6.9,CASH,Completed,411,3
227,Winnie Wafula,0781470948,Lavington,Brian Otieno,0744810301, KDA542H ,Mazda,AXELA,Kilimani,langata,06/06/2025,20:41,5,Card,Completed,325,5
228,  Felix Wafula  ,+254752573081,karen,Mercy Wanjiru,0781747623,KDA542H,Mazda,Axela,Buruburu,Parkllands,2025-03-26,11:01,4,Card,Completed,280,3
229,Grace Odhiambo,0759785686,Langgata,Mercy Wanjiru,0781747623,KDA950K,Honda,Fit,Embakasi,Parklands,05/04/2025,09:37,28.9,CASH,Completed,1401,4
230,Kevin Mutua,0759899226,CBD,hassan wafula,0716564365,KDA542H,Mazda,Axela,Soutth C,Kilimani,2025-05-17,20:09,10.6,mpesa,Completed,577,5
231,Brian Wanjiru,0784-844-636,Kasarani,Diana Kamau,,KDA950K,Honda,Fit,Kilimani,Kilimani,23/03/2025,06:35,14.4,M-Pesa,Completed,KES 748,5
232,Diana Chebet,0763344725,Kasarani,Moses Omondi,0753618087,kdb560l,TOYOTA,Vitz,Langata,EMBAKASI,2025-03-23,09:28,23.5,CARD,Completed,1158,4
233,Brian Wanjiru,0784844636,Kasarani,MERCY WANJIRU,0781747623,KDB833G,Toyota,Fielder,Ngong Road,Lavinngton,04/01/2025,10:33,2.9,Cash,Completed,KES 231,4
234,Hassan Wafula,,Langgata,Amina Omondi,0734-239-702, KDB833G ,Toyota,Fielder,westlands,Ngong Road,2025-06-11,18:30,24.2,Card,completed,1189,3
235,kevin mutua,0759899226,CBD,  Amina Omondi  ,0734-239-702,KDB833G,Toyota,Fielder,South B,South B,2025-02-22,18:15,10.6,Cash,Completed,577,5
236,Felix Achieng,0754759100,South B,Diana Barasa,0713263844,KDA496F,Toyota,Axio,CBD,Parklands,2025-01-22,13:18,,mpesa,Completed,"KES 1,108",3
237,Samuel Mwangi,0765635406,Buruburu,moses kariuki,0781400181, KDD156F ,Nissan,Advan,CBD,Embakasi,01-13-2025,20:46,11,Card,Completed,595,4
238,Cynthia Mwangi,0725121694,langata,Elias Cheruiyot,0779736929,KDE501G,Toyota,WISH,SOUTH B,South C,2025-01-10,11:14,33.4,cash,Complete,1603,3
239,David Achieng,+254728832187,Runda,  Elias Cheruiyot  ,+254779736929,KDC598H,NISSAN,Note,Embakasi,cbd,06-01-2025,19:49,31.6,Cash,Completed,"KES 1,522",4
240,Grace Odhiambo,0759785686,Langata,Moses Kariuki,0781400181,KDB560L,Toyota,Vitz,Westlands,BURUBURU,2025-01-07,07:03,19.3,Cash,Complete,969,
241,Faith Kariuki,0793595589,CBD,Moses Omondi,0753618087,kdb833g,Toyota,Fielder,Parklands,Lavington,11/04/2025,14:36,25.1,M-Pesa,Complete,1230,5
242,Mercy Wekesa,0797593711,Westlands,david kiprotich,0749-589-840,kdb560l,Toyota,Vitz,WESTLANDS,Embakasi,13/04/2025,14:07,13,M-Pesa,Completed,685,4
243,David Achieng,0728832187,Runda,Elias Cheruiyot,0779736929,KDA496F,Toyota,AXIO,Kasarani,PARKLANDS,06-02-2025,10:50,11.5,CASH,COMPLETED,618,3
244,Hassan Wafula,0736980151,LANGATA,Brian Otieno,0744810301,KDE501G,Toyota,Wish,CBD,Embakasi,2025-01-22,07:45,5.9,M-Pesa,Completed,366,5
245,Mercy Barasa,0766847125,Buruburu,brian otieno,0744810301,KDD156F,Nissan,Advan,south c,KILIMANI,2025-03-28,12:03,9.1,M-PESA,Completed,510,3
246,samuel mwangi,,BURUBURU,Diana Barasa,0713263844,kdc384m,Subaru,Impreza,buruburu,buruburu,06-06-2025,11:33,25.8,Card,Completed,1261,
247,GRACE ODHIAMBO,0759785686,Langgata,Moses Omondi,0753618087,KDD693I,Toyota,premio,Parklands,Runda,17/05/2025,16:00,26.2,CASH,Completed,"KES 1,279",6
248,Winnie Wafula,0781470948,Lavington,ELIAS CHERUIYOT,0779736929,KDA542H,Mazda,Axela,South B,lavington,2025-05-21,22:06,15,Cash,Completed,KES 775,5
249,Winnie Wafula,0781470948,Lavington,mercy wanjiru,0781747623,KDD156F,Nissan,ADVAN,LANGATA,Langata,05/05/2025,18:32,34.6,M-Pesa,Completed,1657,3
250,IVY NJOROGE,+254752847276,Buruburu,David Kiprotich,0749589840,KDA496F,Toyota,Axio,Ngong Road,Parklands,2025-05-21,21:33,4.2,M-Pesa,Complete,KES 289,5
251,Felix Wafula,0752573081,Karen,Diana Kamau,0731284168,KDC598H,Nissan,Note,CBD,Kilimani,13/06/25,14:34,7.7,Cash,completed,447,5
252,Faith Mwangi,0717791214,South B,Hassan Wafula,0716-564-365,KDB833G,Toyota,Fielder,Lavinngton,CBD,18/05/25,17:44,11.6,Card,COMPLETED,622,4
253,faith mwangi,0717791214,SOUTH B,Hassan Wafula,0716564365,KDA542H,Mazda,Axela,lavington,Langata,2025-04-19,08:39,15.5,Card,Completed,798,4
254,Samuel Omondi,0720576936,LANGATA,amina omondi,0734239702,KDD693I,TOYOTA,Premio,CBD,runda,22/06/25,07:11,,Cash,Completed,690,5
255,  Samuel Mwangi  ,,Buruburu,Diana Barasa,0713263844,kdc598h,Nissan,Note,CBD,RUNDA,03-23-2025,10:38,22.9,Card,Completed,1131,4
256,Mercy Barasa,0766847125,Buruburu,Hassan Wafula,0716564365,KDB560L,Toyota,Vitz,South B,Karen,2025-03-27,13:35,27.6,Card,Completed,1342,3
257,kevin mutua,0759899226,CBD,  David Kiprotich  ,0749589840,kda496f,Toyota,AXIO,Embakasi,WESTLANDS,16/02/25,13:37,32.7,cash,Completed,1572,4
258,Mercy Nyambura,0795540297,Embakasi,ELIAS CHERUIYOT,0779-736-929,KDA496F,toyota,AXIO,Kilimani,Parkllands,2025-03-05,20:50,5.3,Cash,completed,339,3
259,Kevin Mutua,0759-899-226,CBD,David Kiprotich,+254749589840,KDE169J,Mazda,demio,Karen,,03-27-2025,06:59,21.3,Cash,COMPLETED,1059,4
260,James Wafula,0736895771,buruburu,DAVID KIPROTICH,0749589840,KDE501G,Toyota,Wish,Langata,Parkllands,15/02/2025,15:17,16.7,Card,Completed,852,4
261,Cynthia Chebet,0740139268,Langata,Amina Omondi,+254734239702,kda542h,Mazda,AXELA,Kilimani,KAREN,2025-03-03,14:42,29.5,CARD,completed,1428,5
262,SAMUEL MWANGI,0765635406,BURUBURU,Victor Odhiambo,0746693891,KDB560L,Toyota,Vitz,Westlands,,2025-03-06,18:27,16.9,Card,Completed,860,4
263,Samuel Cheruiyot,0744365845,Parklands,Moses Kariuki,0781400181,KDB560L,Toyota,Vitz,Ngong Road,Parklands,13/01/25,19:37,2.1,Cash,Completed,KES 195,4
264,victor wafula,0777979240,South C,Brian Kamau,0777194079,KDA496F,TOYOTA,Axio,Lavington,Parkllands,2025-03-28,20:07,27.8,CASH,completed,1351,3
265,victor kariuki,0739-420-701,,Elias Cheruiyot,0779736929,KDB833G,Toyota,fielder,KAREN,Westlands,2025-04-25,07:42,6.4,M-Pesa,COMPLETED,388,3
266,victor wafula,0777-979-240,South C,Brian Mutua,0774860677,KDA950K,Honda,FIT,langata,Embakasi,02/03/25,13:23,-33.9,Cash,Completed,1626,4
267,MERCY BARASA,0766-847-125,buruburu,  Moses Kariuki  ,0781400181, KDA542H ,mazda,Axela,Kasarani,Kilimani,2025-03-09,11:11,31.6,M-Pesa,Completed,"KES 1,522",4
268,  James Wafula  ,0736895771,Buruburu,elias cheruiyot,0779736929,KDA542H,Mazda,Axela,CBD,Kilimani,2025-04-23,12:26,33.9,Cash,completed,1626,6
269,Ivy Njoroge,0752847276,BURUBURU,elias cheruiyot,+254779736929,KDA542H,MAZDA,Axela,,Buruburu,03/05/25,14:39,12.1,Cash,COMPLETED,KES 645,4
270,Samuel Omondi,0720576936,Langata,DAVID KIPROTICH,0749589840,KDE169J,Mazda,Demio,Kasarani,KASARANI,2025-01-03,17:04,4.7,Card,Completed,KES 312,4
271,Mercy Nyambura,0795540297,EMBAKASI,Diana Barasa,0713263844, KDB560L ,Toyota,vitz,PARKLANDS,Ngong Road,04-22-2025,09:40,31.1,M-Pesa,completed,"KES 1,500",5
272,Cynthia Chebet,+254740139268,Langata,Mercy Wanjiru,+254781747623,KDA542H,Mazda,Axela,Ngong Road,Ngong Road,06-20-2025,11:10,14.3,Card,completed,744,3
273,Winnie Wafula,+254781470948,Lavington,dennis chebet,0739185296,KDB833G,Toyota,FIELDER,Langata,Embakasi,2025-06-01,16:39,10,mpesa,Completed,550,4
274,Diana Chebet,0763344725,KASARANI,  Mercy Wanjiru  ,,KDC598H,NISSAN,Note,Buruburu,Burubburu,23/03/2025,08:36,27.8,Cash,Completed,"KES 1,351",5
275,Joy Nyambura,0733-240-353,Ngong Road,David Kiprotich,0749589840,KDC384M,SUBARU,impreza,Westlands,Embakasi,2025-02-01,14:44,28.9,cash,Completed,1401,3
276,Ivy Njoroge,+254752847276,BURUBURU,brian kamau,0777194079,KDC384M,Subaru,Impreza,SOUTH B,Kasarani,25/02/2025,21:55,-7.6,Card,Completed,KES 442,3
277,Ivy Wanjiru,0716748321,Runda,Moses Omondi,0753618087,KDB833G,Toyota,Fielder,Karen,,01-05-2025,11:58,-1.7,card,Completed,177,4
278,hassan wafula,,Langata,Diana Barasa,0713263844,KDD156F,NISSAN,ADVAN,Runda,lavington,12/06/2025,08:47,10.8,Cash,completed,586,0
279,brian otieno,0797729125,South B,hassan wafula,0716564365,kda496f,Toyota,Axio,South B,Kasarani,26/02/2025,10:15,14.3,M-PESA,Completed,744,3
280,Diana Wafula,+254738313151,WESTLANDS,  Dennis Chebet  ,0739185296, KDB560L ,Toyota,Vitz,Ngong Road,SOUTH C,18/02/2025,09:36,5.6,CARD,COMPLETED,KES 352,3
281,Samuel Cheruiyot,,Parklands,Diana Kamau,,kda950k,Honda,Fit,CBD,KILIMANI,2025-03-12,10:11,2.6,M-Pesa,Completed,KES 217,3
282,  Ivy Wanjiru  ,,Runda,VICTOR ODHIAMBO,+254746693891,KDB560L,TOYOTA,Vitz,Langata,Embakasi,2025-04-27,16:27,2.7,cash,COMPLETED,222,3
283,  Mercy Barasa  ,0766847125,Buruburu,Mercy Wanjiru,0781-747-623, KDD156F ,Nissan,Advan,Westlands,CBD,25/01/2025,17:12,5.3,Card,Completed,KES 339,3
284,FELIX WEKESA,0735584587,Parklands,Moses Omondi,+254753618087, KDA542H ,Mazda,axela,Soutth C,Buruburu,06-27-2025,13:13,19.9,CASH,Completed,KES 995,4
285,Brian Otieno,0797729125,South B,David Kiprotich,0749589840,kda950k,honda,Fit,CBD,SOUTH C,03/03/2025,11:14,4.1,CARD,Completed,285,5
286,SAMUEL CHERUIYOT,0744365845,Parklands,David Kiprotich,0749-589-840,kdc384m,Subaru,Impreza,Kilimani,Buruburu,23/02/2025,11:47,23.5,Card,Completed,1158,5
287,FELIX ACHIENG,0754759100,South B,Hassan Wafula,0716564365, KDA496F ,Toyota,Axio,LAVINGTON,Lavington,2025-02-08,11:49,-21.5,m-pesa,Completed,1068,3
288,CYNTHIA CHEBET,+254740139268,Langata,David Kiprotich,+254749589840,KDB560L,Toyota,Vitz,Langata,Embakkasi,2025-06-08,08:01,21.4,Cash,Completed,1063,3
289,Brian Otieno,0797729125,South B,  Hassan Wafula  ,0716564365,KDA950K,Honda,Fit,,Parklands,2025-06-18,18:31,18.2,M-Pesa,completed,919,5
290,Grace Odhiambo,0759785686,Langata,Brian Mutua,0774860677,KDE501G,Toyota,Wish,South C,Karen,2025-04-10,13:40,21.7,M-Pesa,COMPLETED,1077,4
291,Felix Achieng,0754-759-100,South B,  Victor Odhiambo  ,0746693891,KDC598H,Nissan,Note,parklands,KASARANI,2025-05-13,22:14,14.8,Card,COMPLETED,KES 766,5
292,ivy wanjiru,0716748321,Runda,Amina Omondi,0734239702,kdd693i,toyota,Premio,Ngong Road,BURUBURU,2025-06-07,19:37,12.3,Cash,completed,654,4
293,mercy nyambura,+254795540297,Embakasi,Brian Otieno,+254744810301,KDB833G,Toyota,Fielder,Ngong Road,CBD,2025-05-13,19:33,32.3,Cash,Complete,1553,5
294,JAMES WAFULA,0736895771,Buruburu,diana barasa,0713-263-844,KDC384M,subaru,IMPREZA,Parklands,westlands,2025-05-03,06:06,3.5,Cash,Completed,KES 258,4
295,Victor Wekesa,0766929084,Westlands,brian kamau,0777194079, KDD693I ,Toyota,Premio,RUNDA,Kilimani,19/02/25,14:11,22.3,Card,completed,1104,5
296,Victor Kariuki,0739420701,KILIMANI,MERCY WANJIRU,0781747623,KDC384M,Subaru,Impreza,Westlands,Embakasi,2025-02-28,12:36,27,cash,Completed,1315,4
297,Ivy Wanjiru,0716748321,Runda,brian kamau,,kdb833g,toyota,Fielder,South C,ngong road,02/02/2025,12:10,33,CASH,COMPLETED,"KES 1,585",3
298,Joy Nyambura,+254733240353,ngong road,Dennis Chebet,0739-185-296,KDB833G,TOYOTA,Fielder,Lavington,Westlands,25/02/2025,09:31,3.2,Cash,Completed,244,4
299,grace odhiambo,0759785686,langata,Brian Kamau,0777194079,KDA496F,TOYOTA,Axio,South C,SOUTH C,13/03/2025,16:07,9,M-Pesa,COMPLETED,505,4
300,Felix Wafula,0752573081,Karen,mercy wanjiru,0781747623,KDD156F,nissan,advan,kilimani,Embakkasi,2025-03-06,20:20,8.1,Card,Completed,KES 465,5
301,samuel omondi,0720576936,Langata,Dennis Chebet,0739185296,KDE169J,Mazda,Demio,EMBAKASI,South C,10/01/2025,19:46,17.1,m-pesa,Completed,870,4
302,Victor Wekesa,0766-929-084,WESTLANDS,Victor Odhiambo,0746693891,KDA542H,Mazda,AXELA,Ngong Road,south c,11/02/25,20:26,6.8,Card,completed,406,5
303,Mercy Barasa,0766847125,buruburu,Elias Cheruiyot,0779736929,KDC598H,Nissan,Note,,Buruburu,2025-03-16,06:45,23.7,cash,Complete,1167,0
304,felix wafula,0752573081,Karen,mercy wanjiru,0781747623,KDB833G,Toyota,Fielder,,Kilimani,2025-01-19,19:11,33.3,mpesa,completed,1598,5
305,Mercy Wekesa,0797593711,Westlands,Brian Mutua,0774860677,KDA496F,Toyota,Axio,RUNDA,South C,04/04/2025,14:42,34.2,M-PESA,COMPLETED,1639,4
306,Faith Kariuki,0793595589,CBD,MOSES OMONDI,0753618087,KDC384M,Subaru,Impreza,Karen,Langgata,2025-05-03,17:36,21.5,Card,Completed,1068,3
307,Winnie Wafula,0781470948,LAVINGTON,Diana Barasa,0713263844,KDD156F,Nissan,Advan,South B,Kilimani,02/02/25,20:26,30.2,cash,Completed,1459,5
308,diana chebet,0763344725,kasarani,Brian Kamau,0777194079, KDA950K ,Honda,Fit,PARKLANDS,Kilimani,2025-02-20,18:13,32.9,Cash,COMPLETED,1581,4
